,Ticker,Date,Time,Headline,neg,neu,pos,compound
0,AAPL,Dec-23-20,05:49PM,"Dow Jones Futures: Stock Market Rally Takes Trump's Stimulus Deal Veto Threat In Stride; AMD, Apple Chipmakers Near Buy Points",0.152,0.848,0.0,-0.5267
1,AAPL,Dec-23-20,05:20PM,Biggest risks facing tech in 2021,0.296,0.704,0.0,-0.2732
2,AAPL,Dec-23-20,04:55PM,Dow Jones Stocks To Buy And Watch In December 2020: Apple Approaches New Buy Point,0.0,1.0,0.0,0.0
3,AAPL,Dec-23-20,04:09PM,Tesla Stock Now Faces Its Most Serious Potential Threat: Analyst,0.397,0.603,0.0,-0.6436
4,AAPL,Dec-23-20,03:31PM,Apple Car would take the tech giant to the next level  even if its a long shot,0.0,1.0,0.0,0.0
5,AAPL,Dec-23-20,03:27PM,"Top Stock Reports for Apple, JPMorgan & Union Pacific",0.0,0.795,0.205,0.2023
6,AAPL,Dec-23-20,02:30PM,"An Apple Christmas Wish List: iPhone, Services, Eyewear, and More",0.0,0.769,0.231,0.4019
7,AAPL,Dec-23-20,01:12PM,"Construction Partners, Surgery Partners, Qualcomm, AbbVie and Garmin as Zacks Bull and Bear of the Day",0.0,1.0,0.0,0.0
8,AAPL,Dec-23-20,12:56PM,The Technology Sector's 2020 and What It Means for 2021,0.0,1.0,0.0,0.0
9,AAPL,Dec-23-20,12:32PM,Dow Rises As Trump Demands Higher Stimulus Checks; Jobs Data Beats Views; Tesla Rises,0.0,1.0,0.0,0.0
10,AAPL,Dec-23-20,12:24PM,"Apple Analyst: Cupertino's EV Ambitions Could Play Out With Partnership With Tesla, Chinese EV Brands",0.0,0.854,0.146,0.34
11,AAPL,Dec-23-20,12:03PM,Here's why Tesla is the hottest stock of 2020,0.0,1.0,0.0,0.0
12,AAPL,Dec-23-20,11:46AM,"Dow Jones Rallies Despite Trump Veto Threat; Apple Approaches New Buy Point, While Tesla Reverses Higher",0.0,0.844,0.156,0.4168
13,AAPL,Dec-23-20,11:08AM,"Buy Qualcomm Stock to Bet on 5G Growth In 2021, Analyst Says",0.0,0.809,0.191,0.3818
14,AAPL,Dec-23-20,10:47AM,"Apple Somehow Survived, Nay Thrived, After Not Buying Tesla",0.0,0.708,0.292,0.5106
15,AAPL,Dec-23-20,10:45AM,"How Amazon Competes With Google (AMZN, GOOG)",0.0,0.779,0.221,0.1779
16,AAPL,Dec-23-20,10:36AM,20 Realistic Tech Predictions for 2021 (Part Two),0.0,1.0,0.0,0.0
17,AAPL,Dec-23-20,10:35AM,Apple (AAPL) Testing September's All-Time High,0.0,1.0,0.0,0.0
18,AAPL,Dec-23-20,09:57AM,"Stock Market News for Dec 23, 2020",0.0,1.0,0.0,0.0
19,AAPL,Dec-23-20,09:45AM,"Dow Jones, Stocks Open Mixed As Trump Balks At Coronavirus Bill; Clean Energy Rally Continues; Merck Rises On Covid Treatment Deal",0.0,0.798,0.202,0.5859
20,AAPL,Dec-23-20,09:45AM,Elon Musk Tried to Sell Tesla to Apple,0.0,1.0,0.0,0.0
21,AAPL,Dec-23-20,09:38AM,"Apple Snubbed Chance to Buy Tesla At $65 Billion, Says Elon Musk",0.2,0.667,0.133,-0.25
22,AAPL,Dec-23-20,09:33AM,Obvious reasons why a Tesla-crushing Apple car won't exist,0.0,1.0,0.0,0.0
23,AAPL,Dec-23-20,09:01AM,Apple Might Be Working on an Electric Car: Here's What You Should Know,0.0,1.0,0.0,0.0
24,AAPL,Dec-23-20,08:07AM,Dow Jones Futures Reverse Higher Despite Trump Threat To Veto 'Disgrace' Of A Stimulus Deal,0.0,0.824,0.176,0.4168
25,AAPL,Dec-23-20,07:45AM,"How Has Apple Soared Nearly 70% This Year, But Still Only Costs $1?",0.0,1.0,0.0,0.0
26,AAPL,Dec-23-20,07:31AM,Facebook workers say company is acting like a virus in Apple privacy battle,0.172,0.662,0.166,-0.0258
27,AAPL,Dec-23-20,07:13AM,"Trump and Stimulus, Apple and Tesla, Pfizer - 5 Things You Must Know Wednesday",0.0,1.0,0.0,0.0
28,AAPL,Dec-23-20,06:38AM,Why Apple entering the EV market is 'a good thing',0.0,0.756,0.244,0.4404
29,AAPL,Dec-23-20,06:22AM,"Tesla Faces 'Formidable Bear Case' Over Apple's EV Plans, Says Morgan Stanley",0.0,1.0,0.0,0.0
30,AAPL,Dec-23-20,06:05AM,Here's How Much You Needed to Invest In Apple 10 Years Ago to Be a Millionaire Today,0.0,1.0,0.0,0.0
31,AAPL,Dec-23-20,04:58AM,Apple adds $102bn to its market value on back of self-driving car plans,0.0,0.833,0.167,0.34
32,AAPL,Dec-23-20,03:59AM,IndyBests best tech buys of 2020: From headphones to speakers and projectors,0.0,0.724,0.276,0.6369
33,AAPL,Dec-23-20,01:59AM,"Japan stocks end higher on gains in drugmakers, tech stocks",0.0,0.789,0.211,0.34
34,AAPL,Dec-22-20,10:11PM,Elon Musk says Apple's boss snubbed takeover deal,0.3,0.7,0.0,-0.4588
